;d;renewable
h1020;74793;0.266398066
h1021;73904;0.297926892
h1022;72875;0.292344883
h1023;71483;0.273108197
h1024;70319;0.231396967
h1025;69233;0.165423778
h1026;72047;0.138495348
h1027;76092;0.168734891
h1028;74565;0.220262252
h1029;70120;0.256625888
h1030;66512;0.272009377
h1031;63781;0.259160501
h1032;59075;0.271716358
h1033;55272;0.27809178
h1034;53034;0.273406156
h1035;52131;0.271444051
h1036;52439;0.264767037
h1037;53873;0.266978065
h1038;57415;0.252599057
h1039;65438;0.247562011
h1040;71437;0.222786775
h1041;72520;0.236096875
h1042;72764;0.281913492
h1043;73709;0.313175389
h1044;75065;0.297742115
h1045;74776;0.232963364
h1046;73947;0.154215597
h1047;72987;0.118443787
h1048;72844;0.1029373
h1049;71994;0.1029373
h1050;73929;0.093419627
h1051;75539;0.086742613
h1052;74065;0.094268896
h1053;69527;0.11163499
h1054;66069;0.128459308
h1055;63208;0.146850382
h1056;58511;0.158579085
h1057;55154;0.173312839
h1058;53203;0.176313863
h1059;52283;0.180149319
h1060;52745;0.18304787
h1061;54229;0.184394671
h1062;57236;0.174205826
h1063;65269;0.164968526
h1064;71344;0.162728737
h1065;72843;0.178114478
h1066;72591;0.238369199
h1067;73160;0.299721856
h1068;73743;0.33784219
h1069;72524;0.326409018
h1070;71320;0.300292783
h1071;69710;0.251105255
h1072;68792;0.187966623
h1073;68403;0.118459962
h1074;71122;0.106909676
h1075;73867;0.146303616
h1076;71695;0.196559801
h1077;67524;0.23801786
h1078;64315;0.268335529
h1079;61873;0.279505197
h1080;57327;0.288420436
h1081;53095;0.290222944
h1082;50713;0.29877183
h1083;49473;0.296385754
h1084;49027;0.300352788
h1085;49099;0.298742553
h1086;49262;0.301362845
h1087;50527;0.303397596
h1088;53682;0.308023363
h1089;57417;0.31889977
h1090;60868;0.331884122
h1091;62722;0.353958983
h1092;63735;0.385841641
h1093;62613;0.388608318
h1094;60485;0.372593796
h1095;58991;0.35799921
h1096;58245;0.319280371
h1097;57891;0.286987835
h1098;60664;0.264912974
h1099;64108;0.277048292
h1100;62044;0.293179922
h1101;57955;0.302153324
h1102;55329;0.307906255
h1103;54251;0.307086499
h1104;50913;0.313966595
h1105;47489;0.318768024
h1106;45081;0.318328869
h1107;43879;0.311419496
h1108;43823;0.307188968
h1109;44310;0.308506434
h1110;43948;0.302050854
h1111;43444;0.301187183
h1112;45155;0.301231098
h1113;48702;0.309984922
h1114;52614;0.355715603
h1115;55387;0.398723523
h1116;57935;0.413537687
h1117;57106;0.417621829
h1118;54840;0.40588175
h1119;53044;0.365011052
h1120;52134;0.324594148
h1121;51827;0.255661441
h1122;54611;0.187636321
h1123;60189;0.164463572
h1124;59768;0.159954913
h1125;57057;0.154875353
h1126;55578;0.145301773
h1127;55531;0.144657679
h1128;52367;0.134659582
h1129;49324;0.115933969
h1130;48114;0.110928994
h1131;47774;0.10652403
h1132;48634;0.103831294
h1133;50232;0.097348241
h1134;53874;0.093148159
h1135;63186;0.090060294
h1136;69732;0.093162793
h1137;71500;0.120338933
h1138;72006;0.165661769
h1139;72637;0.206462565
h1140;73172;0.240209565
h1141;72640;0.243897442
h1142;72057;0.223731195
h1143;70923;0.178759586
h1144;69636;0.124875607
h1145;68162;0.067933033
h1146;70130;0.036615349
h1147;74192;0.037229995
h1148;73075;0.043303284
h1149;68839;0.043215477
